source,keyword,title,url,published,fetched_at
tanea,Marfin,"Ελλάδα Marfin: «Δεν υπάρχει ταυτοποίηση προσώπων, έχουμε ένα mail το οποίο είναι αστείο» Ο Θανάσης Καμπαγιάννης, δικηγόρος του ενός κατηγορούμενου, δήλωσε στο MEGA ότι δεν υπάρχουν επαρκή στοιχεία 15/07/2026 08:29",https://www.tanea.gr/2026/07/15/greece/marfin-den-yparxei-taytopoiisi-prosopon-exoume-ena-mail-to-opoio-einai-asteio-ti-dilonei-o-dikigoros-tou-enos-katigoroumenou/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Η συγκλονιστική μαρτυρία του φωτορεπόρτερ που κατέγραψε την τραγωδία – «Ήταν σαν ομάδα εκτελεστών» Μια συγκλονιστική μαρτυρία φέρνει στο φως τις εφιαλτικές στιγμές της τραγωδίας στη Marfin 14/07/2026 22:37,https://www.tanea.gr/2026/07/14/greece/marfin-i-sygklonistiki-martyria-toy-fotoreporter-poy-kategrapse-tin-tragodia-itan-san-omad/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα 12 Marfin: Αυτό είναι το email που κατονομάζει τους συλληφθέντες – Τι αναφέρουν δικαστικές πηγές Το φωτογραφικό υλικό και οι μαρτυρίες που οδήγησαν τις εξελίξεις, με τις Αρχές να αναζητούν δύο ακόμη άνδρες που εμπλέκονται στην υπόθεση 14/07/2026 21:15",https://www.tanea.gr/2026/07/14/greece/marfin-ayto-einai-to-email-pou-katonomazei-tous-syllifthentes-ti-anaferoun-dikastikes-piges/,,2026-07-23T13:14:05Z
tanea,Marfin,Δικαιοσύνη Marfin: Προφυλακιστέοι οι δύο συλληφθέντες – Αρνούνται ότι σχετίζονται με τα επεισόδια στην τράπεζα Επιμένουν ότι δεν συμμετείχαν στη φονική επίθεση Μίνα Μουστάκα 14/07/2026 18:46,https://www.tanea.gr/2026/07/14/greece/law/prosorina-kratoumenoi-krithikan-oi-dyo-42xronoi-katigoroumenoi-gia-ton-emprismo-tis-marfin/,,2026-07-23T13:14:05Z
tanea,Marfin,Δικαιοσύνη Marfin: Δέχθηκε να εκδοθεί στην Ελλάδα η 46χρονη – Εντός δέκα ημερών η επιστροφή της Η κατηγορούμενη για τον εμπρησμό της Marfin εμφανίστηκε σε δικαστήριο του Λονδίνου και αποδέχτηκε το αίτημα έκδοσής της στην Ελλάδα 14/07/2026 18:01,https://www.tanea.gr/2026/07/14/greece/law/marfin-ekdidetai-stin-ellada-i-46xroni-paraitithike-apo-ta-endika-mesa/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Υπό δρακόντεια μέτρα ασφαλείας οι δύο συλληφθέντες στην ανακρίτρια Ακόμα δυο πρόσωπα μπαίνουν στο «κάδρο» της υπόθεσης 14/07/2026 10:58,https://www.tanea.gr/2026/07/14/greece/marfin-ypo-drakonteia-metra-asfaleias-oi-dyo-syllifthentes-stin-anakritria/,,2026-07-23T13:14:05Z
tanea,Marfin,"Πολιτική Χρυσοχοΐδης: Το υλικό για τη Marfin υπήρχε αλλά δεν είχε αξιοποιηθεί λόγω λαθών «Θα συλληφθούν και άλλοι για τη δολοφονία της Βάγιας Νέστορα», είπε ο υπουργός Προστασίας του Πολίτη 14/07/2026 09:50",https://www.tanea.gr/2026/07/14/politics/xrysoxoidis-to-yliko-gia-ti-marfin-ypirxe-alla-den-eixe-aksiopoiithei-opos-eprepe/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Marfin: Aπολογούνται οι δύο 42χρονοι, στο «μικροσκόπιο» ακόμη δύο άνδρες – H έκδοση της 46χρονης από τη Βρετανία Πώς θα γίνει η διαδικασία για την έκδοση της 46χρονης από τη Βρετανία 14/07/2026 07:50",https://www.tanea.gr/2026/07/14/greece/marfin-apologountai-oi-dyo-42xronoi-sto-mikroskopio-akomi-dyo-andres-h-ekdosi-tis-46xronis-apo-ti-vretania/,,2026-07-23T13:14:05Z
tanea,Marfin,"Ελλάδα Υπόθεση Marfin: Οι φωτογραφίες που οδήγησαν στην ταυτοποίηση των υπόπτων – Το σακίδιο, το κόκκινο μαντήλι και το ανοιχτόχρωμο καπέλο Οι φωτογραφίες από το 2010 και τα ευρήματα της έρευνας φέρονται να έπαιξαν καθοριστικό ρόλο στην ταυτοποίηση των τριών συλληφθέντων για τη Marfin 13/07/2026 22:19",https://www.tanea.gr/2026/07/13/greece/ypothesi-marfin-oi-fotografies-poy-prodosan-toys-3-syllifthentes-to-sakidio-kai-to-kokkino/,,2026-07-23T13:14:05Z
tanea,Marfin,Ελλάδα Marfin: Στο δικαστήριο του Γουέστμινστερ η 46χρονη – Ξεκινά η διαδικασία έκδοσής της στην Ελλάδα Η 46χρονη διέμενε τα τελευταία χρόνια στη Μεγάλη Βρετανία και είχε εκφράσει πρόθεση να επιστρέψει στην Ελλάδα με δική της πρωτοβουλία TANEA Newsroom 13/07/2026 18:56,https://www.tanea.gr/2026/07/13/greece/marfin-sto-dikastirio-tou-gouestminster-i-46xroni-ksekina-i-diadikasia-ekdosis-tis-stin-ellada/,,2026-07-23T13:14:05Z
